"fulfillment_type","description","long_description"
"CORONA","CORONA","CORONA Lockdown"
"DC_SHUT_DOWN","DC_SHUT_DOWN","DC Shut Down"
"PICKUP_IN_STORE","Pickup in Store","Pickup In Store"
"PICKUP_IN_STORE_DC","Pickup in Store","Pickup in Store DC (Force Sourcing)"
"PICKUP_IN_STORE_KIT","Pickup in Store","Pickup In Store Kit"
"PICKUP_IN_STORE_KIT_ONHAND","Pickup in Store","Pickup In Store Kit Onhand"
"PICKUP_IN_STORE_LV","Pickup in Store","Pickup In Store For Low Value"
"PICKUP_IN_STORE_NC","Pickup in Store","Pickup In Store NC"
"PICKUP_IN_STORE_ONHAND","Pickup in Store","Pickup In Store Onhand"
"PICKUP_IN_STORE_SC","Pickup in Store","Pickup In Store For Store Clearance"
"PRODUCT_SOURCING","PRODUCT_SOURCING","Fulfillment Type for Product Sourcing"
"SHIP_2_CUSTOMER","Ship to Customer","Ship 2 Customer"
"SHIP_2_CUSTOMER_DC","Ship to Customer","Ship 2 Customer DC (Force Sourcing)"
"SHIP_2_CUSTOMER_KIT","Ship to Customer","Ship 2 Customer Kit"
"SHIP_2_CUSTOMER_KIT_ONHAND","Ship to Customer","Ship 2 Customer Kit Onhand"
"SHIP_2_CUSTOMER_LV","Ship to Customer","Ship 2 Customer For Low Value"
"SHIP_2_CUSTOMER_NC","Ship to Customer","Ship 2 Customer NC"
"SHIP_2_CUSTOMER_ONHAND","Ship to Customer","Ship 2 Customer Onhand"
"SHIP_2_CUSTOMER_SC","Ship to Customer","Ship 2 Customer For Store Clearance"
"SHIP_2_CUST_PREPAY","Ship to Customer","SHIP_2_CUST_PREPAY"
"SHIP_TO_CUSTOMER","Ship to Customer","Ship To Customer"
"SHIP_TO_STORE","Ship to Customer","Ship To Store"
"STORE_WC_KC","STORE_WC_KC","DC Lockdown Store WC KC"
